file,size_bytes,duration_s,video_codec,resolution,fps,audio_codec,sample_rate,channels,lufs,tp,decode_ok,sha256,qc
"gsa-cinema-abertura-master-10s-1080p30.mp4","14977021","10","h264","1920x1080","30/1","aac","48000","2","-16.2","-1.2","true","bf176eedacb7a5b0b068be328c4ddaa0fc6c45ba71a5b21b0005e9e5f021626d","PASS"
"gsa-cinema-agenda-master-8s-1080p30.mp4","7147990","8","h264","1920x1080","30/1","aac","48000","2","-16.7","-1.6","true","3222b9571e904e8aa229eae1d826a87b5b170ba50f79e6429b79f81d47316c55","PASS"
"gsa-cinema-arquivo-master-8s-1080p30.mp4","9904218","8","h264","1920x1080","30/1","aac","48000","2","-16","-2.7","true","6712f4834501ae6ad7d8d5ae23b0c3ab6456a9c0a7e3c807eb3bcb81fcdbfb62","PASS"
"gsa-cinema-bumper-master-5s-1080p30.mp4","9352673","5","h264","1920x1080","30/1","aac","48000","2","-15.9","-5.2","true","35bc9d234c5b13fc137d6cab4b773b130032b62d204235b8b0f303c60ea1f3aa","PASS"
"gsa-cinema-cena-em-foco-master-8s-1080p30.mp4","11119910","8","h264","1920x1080","30/1","aac","48000","2","-16.1","-2","true","ef0040fe03a5064b4a88545c85f843653c2ebcdb46b61147ce7638c361cb179d","PASS"
"gsa-cinema-cenario-master-8s-1080p30.mp4","12107615","8","h264","1920x1080","30/1","aac","48000","2","-16.3","-3.5","true","40a684300aea401aa4cad911d8ecb463307cb1e5bb58cad85b7e5d0b16d3e66f","PASS"
"gsa-cinema-desafio-24-quadros-master-8s-1080p30.mp4","17627859","8","h264","1920x1080","30/1","aac","48000","2","-16.6","-4.3","true","ac0c655078c5928e9117bd5594043963548cc82057e1541d2fd59a77744777b0","PASS"
"gsa-cinema-encerramento-master-10s-1080p30.mp4","7941620","10","h264","1920x1080","30/1","aac","48000","2","-15.8","-1.3","true","d33aa3ffe453454b5ff27da49d9a294f987bd128279eab42ef9cc38847b9f7eb","PASS"
"gsa-cinema-estamos-apresentando-master-10s-1080p30.mp4","15115909","10","h264","1920x1080","30/1","aac","48000","2","-16.3","-4.6","true","06c1778842d4a6c1b17c80fc4ba7522d0e2bf7fc9f4f3d36f5faccaaa014ba3e","PASS"
"gsa-cinema-por-tras-da-tela-master-8s-1080p30.mp4","19343048","8","h264","1920x1080","30/1","aac","48000","2","-15.6","-2","true","86e83170cfa59a4b7cf1a1bfc9d456f7a81b722617ea23f94bd5fd7203380047","PASS"
"gsa-cinema-radar-master-8s-1080p30.mp4","14298109","8","h264","1920x1080","30/1","aac","48000","2","-16.6","-3.6","true","96e379fb2ad66b00f1599033e82c28f99b8935ed492b6ffd7bade789855af47b","PASS"
"gsa-cinema-recomenda-master-8s-1080p30.mp4","11831163","8","h264","1920x1080","30/1","aac","48000","2","-16.4","-3","true","780c005962f94874eaca409684b2498a8a4c2407f731b19e78e1e1831d7c0a1d","PASS"
"gsa-cinema-sessao-especial-master-8s-1080p30.mp4","7235426","8","h264","1920x1080","30/1","aac","48000","2","-15.9","-1.5","true","e40b07fb8ee19702b53c4ed43e36266174c53956bf9a8c957bb997fbd4c1d538","PASS"
"gsa-cinema-voltamos-a-apresentar-master-10s-1080p30.mp4","15131319","10","h264","1920x1080","30/1","aac","48000","2","-16.2","-4.4","true","317c93ea7f620603ae7aa798a4e043f3f942e34e07beb9a6a4dde1b912555c18","PASS"
